match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_win,match_status,team1_orig,team2_orig,toss_winner_orig,winner_orig,eliminator,player_of_match
335982,2007/08,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,completed,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,,BB McCullum
335983,2007/08,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,completed,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,,MEK Hussey
335984,2007/08,2008-04-19,Feroz Shah Kotla,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,1,completed,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,,MF Maharoof
335985,2007/08,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,completed,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,,MV Boucher
335986,2007/08,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,1,completed,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,,DJ Hussey
335987,2007/08,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,1,completed,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,,SR Watson
335988,2007/08,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,completed,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,,V Sehwag
335989,2007/08,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,1,completed,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,,ML Hayden
335990,2007/08,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,completed,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,,YK Pathan
335991,2007/08,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,1,completed,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,,KC Sangakkara
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,completed,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,,SR Watson
335993,2007/08,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,1,completed,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,,JDP Oram
335994,2007/08,2008-04-27,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,completed,Mumbai Indians,Deccan Chargers,Deccan Chargers,Deccan Chargers,,AC Gilchrist
335995,2007/08,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,1,completed,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,,SM Katich
335996,2007/08,2008-04-28,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,completed,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,,MS Dhoni
