match_id,date,team1,team2,venue,city,season,team1_prior_win_rate,team2_prior_win_rate,team1_last_5_win_rate,team2_last_5_win_rate,team1_last_10_win_rate,team2_last_10_win_rate,h2h_team1_win_rate,h2h_matches_before,team1_venue_win_rate,team2_venue_win_rate,venue_matches_before,team1_elo,team2_elo,elo_diff,prior_win_rate_diff,last_5_win_rate_diff,last_10_win_rate_diff,venue_win_rate_diff,venue_chase_win_rate,team1_home_advantage,team1_toss_winner,toss_decision_field,team1_win
335982,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2007/08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5,1,1,1,0
335983,2008-04-19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2007/08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,0
335984,2008-04-19,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2007/08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,1
335985,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2007/08,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0,0.5,0.5,0,1500.0,1484.0,16.0,0.5,0.5,0.5,0.0,0.5,1,1,0,0
335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,2007/08,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0,0.5,0.5,0,1516.0,1500.0,16.0,0.5,0.5,0.5,0.0,0.5,1,0,0,1
335987,2008-04-21,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Jaipur,2007/08,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.5,0.5,0,1484.0,1484.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,1
335988,2008-04-22,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2007/08,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0,0.5,0.5,0,1484.74,1516.0,-31.26,-1.0,-1.0,-1.0,0.0,0.5,1,1,0,0
335989,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2007/08,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0,0.5,0.5,0,1516.0,1483.26,32.74,1.0,1.0,1.0,0.0,0.5,1,0,1,1
335990,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2007/08,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0,0.0,0.5,1,1470.17,1500.0,-29.83,-0.5,-0.5,-0.5,-0.5,1.0,1,0,1,0
335991,2008-04-25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2007/08,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.5,1,1468.0,1468.77,-0.77,0.0,0.0,0.0,-0.5,0.0,1,0,1,1
